Airline,Airline_ID,Origin_Airport,Origin_Air_ID,Dest_Airport,Dest_Air_ID,Codeshare,Stops,Equipment
AS,439,LAX,3484,BOS,3448,Y,0,757 738
AS,439,LAX,3484,CMH,3759,Y,0,738
AS,439,LAX,3484,DCA,3520,,0,73H
AS,439,LAX,3484,DEN,3751,Y,0,CR7
AS,439,LAX,3484,DFW,3670,Y,0,738 763 757 M83
AS,439,LAX,3484,ELP,3559,Y,0,CRJ
AS,439,LAX,3484,FAT,3687,Y,0,CRJ
AS,439,LAX,3484,GDL,1804,,0,73H
AS,439,LAX,3484,HNL,3728,Y,0,757 753
AS,439,LAX,3484,IAH,3550,Y,0,CR7
AS,439,LAX,3484,IND,3585,Y,0,738
AS,439,LAX,3484,JFK,3797,Y,0,321 762
AS,439,LAX,3484,KOA,3514,Y,0,757
AS,439,LAX,3484,LIH,3602,Y,0,757
AS,439,LAX,3484,LTO,1817,Y,0,DH4
AS,439,LAX,3484,MCO,3878,Y,0,757 738
AS,439,LAX,3484,MEX,1824,,0,73H
AS,439,LAX,3484,MFR,4101,Y,0,DH4
AS,439,LAX,3484,MIA,3576,Y,0,757 777 763 738
AS,439,LAX,3484,MMH,7081,Y,0,DH4
AS,439,LAX,3484,MRY,3948,Y,0,CRJ
AS,439,LAX,3484,MSY,3861,Y,0,319
AS,439,LAX,3484,MZT,1826,,0,739
AS,439,LAX,3484,OGG,3456,Y,0,757
AS,439,LAX,3484,OKC,3863,Y,0,CR7
AS,439,LAX,3484,ORD,3830,Y,0,738
AS,439,LAX,3484,PDX,3720,,0,73J 73H 734 739 73G
AS,439,LAX,3484,PHX,3462,Y,0,CRJ
AS,439,LAX,3484,PIT,3570,Y,0,738
AS,439,LAX,3484,PVR,1836,,0,739 73H
AS,439,LAX,3484,RDU,3626,Y,0,738
AS,439,LAX,3484,RNO,3807,Y,0,CRJ
AS,439,LAX,3484,SAF,3784,Y,0,CRJ
AS,439,LAX,3484,SAN,3731,Y,0,CRJ CR7
AS,439,LAX,3484,SEA,3577,,0,73H 734 739 73J 73G
AS,439,LAX,3484,SFO,3469,Y,0,738
AS,439,LAX,3484,SJD,1840,,0,73J 734
AS,439,LAX,3484,SMF,3817,Y,0,CRJ
AS,439,LAX,3484,STL,3678,Y,0,M83
AS,439,LAX,3484,STS,6992,Y,0,DH4
AS,439,LAX,3484,TUS,3636,Y,0,CRJ
AS,439,LAX,3484,YVR,156,,0,734 739 73J
AS,439,LAX,3484,ZIH,1856,,0,739
AS,439,LAX,3484,ZLO,1858,,0,73H
AS,439,ORD,3830,ANC,3774,,0,73H
AS,439,ORD,3830,LAX,3484,Y,0,738
AS,439,ORD,3830,MSY,3861,Y,0,E75
AS,439,ORD,3830,PDX,3720,,0,73G
AS,439,ORD,3830,SAN,3731,Y,0,738
AS,439,ORD,3830,SEA,3577,,0,73H 739 73J
AS,439,ORD,3830,SFO,3469,Y,0,738
AT,4248,JFK,3797,CMN,1074,,0,763
AV,515,JFK,3797,BOG,2709,,0,319 330
AV,515,JFK,3797,MDE,2745,,0,319
AV,515,JFK,3797,SAL,1892,,0,320 321
AV,515,JFK,3797,SAP,1772,,0,320
AV,515,LAX,3484,GUA,1767,,0,320
AV,515,LAX,3484,SAL,1892,,0,320 321 319
AV,515,ORD,3830,SAL,1892,,0,319
AY,2350,JFK,3797,BCN,1218,,0,763
AY,2350,JFK,3797,CDG,1382,,0,763 757
AY,2350,JFK,3797,DUB,599,,0,757
AY,2350,JFK,3797,FCO,1555,Y,0,763
AY,2350,JFK,3797,HEL,421,,0,333
AY,2350,JFK,3797,LCY,503,,0,318
AY,2350,JFK,3797,LHR,507,,0,744 77W 777
AY,2350,JFK,3797,MAD,1229,,0,333 757 346
AY,2350,JFK,3797,MAN,478,Y,0,757
AY,2350,JFK,3797,MXP,1524,Y,0,763
AY,2350,JFK,3797,SJU,2890,,0,757
AY,2350,JFK,3797,YUL,146,Y,0,ERD
AY,2350,JFK,3797,YYZ,193,Y,0,CR7
AY,2350,LAX,3484,LHR,507,,0,744 388
AY,2350,LAX,3484,MAD,1229,,0,346 343
AY,2350,ORD,3830,CDG,1382,Y,0,763
AY,2350,ORD,3830,DUB,599,,0,763
AY,2350,ORD,3830,DUS,345,,0,763
AY,2350,ORD,3830,FCO,1555,,0,763
AY,2350,ORD,3830,LHR,507,,0,763 777 744
AY,2350,ORD,3830,MAD,1229,,0,333
AY,2350,ORD,3830,MAN,478,Y,0,763
AZ,596,JFK,3797,ATL,3682,Y,0,752 319 M88 738
AZ,596,JFK,3797,CDG,1382,Y,0,332 388 772 343
AZ,596,JFK,3797,FCO,1555,,0,772 330
AZ,596,JFK,3797,MEX,1824,Y,0,738
AZ,596,JFK,3797,MSY,3861,Y,0,CR9
AZ,596,JFK,3797,MXP,1524,,0,330
AZ,596,JFK,3797,VCE,1551,Y,0,764
AZ,596,JFK,3797,YUL,146,Y,0,ERJ
AZ,596,JFK,3797,YYZ,193,Y,0,CR7
AZ,596,LAX,3484,CDG,1382,Y,0,388 772
AZ,596,LAX,3484,FCO,1555,,0,772
AZ,596,ORD,3830,ATL,3682,Y,0,M88
AZ,596,ORD,3830,FCO,1555,,0,332 330
B6,3029,JFK,3797,ABQ,4019,,0,320
B6,3029,JFK,3797,AUA,2895,,0,320
B6,3029,JFK,3797,AUS,3673,,0,320
B6,3029,JFK,3797,AZS,5810,,0,320
B6,3029,JFK,3797,BDA,4069,,0,320
B6,3029,JFK,3797,BGI,2875,,0,321
B6,3029,JFK,3797,BOS,3448,,0,E90 320
B6,3029,JFK,3797,BQN,2885,,0,320
B6,3029,JFK,3797,BTV,3711,,0,E90
B6,3029,JFK,3797,BUF,3820,,0,E90 320
B6,3029,JFK,3797,BUR,3644,,0,320
B6,3029,JFK,3797,CHS,3806,,0,320
B6,3029,JFK,3797,CLT,3876,,0,E90
B6,3029,JFK,3797,CTG,2714,,0,320
B6,3029,JFK,3797,CUN,1852,,0,320
B6,3029,JFK,3797,DEN,3751,,0,320
B6,3029,JFK,3797,DXB,2188,,0,388
B6,3029,JFK,3797,FLL,3533,,0,320 E90
B6,3029,JFK,3797,GCM,1926,,0,320
B6,3029,JFK,3797,HOU,3566,,0,E90
B6,3029,JFK,3797,IAD,3714,,0,E90
B6,3029,JFK,3797,JAX,3712,,0,320
B6,3029,JFK,3797,JNB,813,,0,346
B6,3029,JFK,3797,KIN,1779,,0,320
B6,3029,JFK,3797,LAS,3877,,0,320
B6,3029,JFK,3797,LAX,3484,,0,320
B6,3029,JFK,3797,LGB,3582,,0,320
B6,3029,JFK,3797,LIR,1881,,0,320
B6,3029,JFK,3797,LRM,1759,,0,320
B6,3029,JFK,3797,MBJ,1780,,0,320
B6,3029,JFK,3797,MCO,3878,,0,320 E90
B6,3029,JFK,3797,MSY,3861,,0,E90 320
B6,3029,JFK,3797,MXP,1524,,0,77W
B6,3029,JFK,3797,NAS,1953,,0,320 E90
B6,3029,JFK,3797,OAK,3453,,0,320
B6,3029,JFK,3797,ORD,3830,,0,320 E90
B6,3029,JFK,3797,PAP,1897,,0,320
B6,3029,JFK,3797,PBI,3722,,0,E90 320
B6,3029,JFK,3797,PDX,3720,,0,320
B6,3029,JFK,3797,PHX,3462,,0,320
B6,3029,JFK,3797,PLS,1754,,0,320
B6,3029,JFK,3797,POP,1761,,0,320
B6,3029,JFK,3797,POS,2902,,0,320
B6,3029,JFK,3797,PSE,2889,,0,320
B6,3029,JFK,3797,PUJ,1760,,0,321 320
B6,3029,JFK,3797,PWM,3862,,0,E90
B6,3029,JFK,3797,RDU,3626,,0,E90
B6,3029,JFK,3797,ROC,3622,,0,E90
B6,3029,JFK,3797,RSW,3793,,0,320
B6,3029,JFK,3797,SAN,3731,,0,320
B6,3029,JFK,3797,SAV,3613,,0,320
B6,3029,JFK,3797,SDQ,1762,,0,321 320
B6,3029,JFK,3797,SEA,3577,,0,320
B6,3029,JFK,3797,SFO,3469,,0,320
B6,3029,JFK,3797,SJC,3748,,0,320
B6,3029,JFK,3797,SJU,2890,,0,320
B6,3029,JFK,3797,SLC,3536,,0,320
B6,3029,JFK,3797,SMF,3817,,0,320
B6,3029,JFK,3797,SRQ,4067,,0,E90
B6,3029,JFK,3797,STI,1764,,0,320 321
B6,3029,JFK,3797,SXM,2899,,0,320
B6,3029,JFK,3797,SYR,3745,,0,E90
B6,3029,JFK,3797,TPA,3646,,0,320 E90
B6,3029,JFK,3797,UVF,2894,,0,320
B6,3029,LAX,3484,BOS,3448,,0,320
B6,3029,LAX,3484,DXB,2188,,0,388
B6,3029,LAX,3484,FLL,3533,,0,320
B6,3029,LAX,3484,JFK,3797,,0,320
B6,3029,ORD,3830,BOS,3448,,0,320 E90
B6,3029,ORD,3830,JFK,3797,,0,E90 320
B6,3029,ORD,3830,SJU,2890,,0,320
BA,1355,JFK,3797,BCN,1218,Y,0,763
BA,1355,JFK,3797,CDG,1382,Y,0,763 757
BA,1355,JFK,3797,DUB,599,Y,0,757
BA,1355,JFK,3797,FCO,1555,Y,0,763
BA,1355,JFK,3797,HEL,421,Y,0,333
BA,1355,JFK,3797,LCY,503,Y,0,318
BA,1355,JFK,3797,LHR,507,,0,777 744
BA,1355,JFK,3797,MAD,1229,Y,0,333 757 346
BA,1355,JFK,3797,MAN,478,Y,0,757
BA,1355,JFK,3797,MXP,1524,Y,0,763
BA,1355,JFK,3797,ORY,1386,Y,0,752
BA,1355,LAX,3484,LHR,507,,0,744 388
BA,1355,LAX,3484,MAD,1229,Y,0,346 343
BA,1355,ORD,3830,ATL,3682,Y,0,E75 CR7 74N
BA,1355,ORD,3830,CDG,1382,Y,0,763
BA,1355,ORD,3830,DUB,599,Y,0,763
